Number,IndividualID,ID2,Population,DaysSurvived,MaxInfLoad,Log10MaxInfLoad,Sex,FullSiblingGroup,Age,InitialLength,InitialMass,FinalLength,FinalMass,InfLDWeek1,InfLDWeek2,InfLDWeek3,InfLDWeek4,InfLDWeek5,InfLDWeek6,InfLDWeek7,InfLDWeek8,InfLDWeek9,InfLDWeek10,InfLDWeek11,InfLDWeek12
69,s_22,22s,s,58,2253227,6.352804895,0,20,NA,26.53,1.58,25.5,1.48,1.6667,88.3351,178.3369,165.0033,2253226.73,8630.1726,22523.7838,26863.8706,33602.3387,NA,NA,NA
7,c_16,16c,c,56,185030,5.267243011,1,1,6,25.99,1.32,23.7,1.16,0,600.012,10.0002,795.0159,2490.0498,3875.0775,185030.3672,163093.2618,85383.3743,NA,NA,NA
62,s_11,11s,s,56,308871,5.489777134,1,18,6,26.34,1.27,24.8,1.39,3.3334,505.0101,596.6786,1316.693,217854.357,18998.7133,27905.5581,83681.6736,308871.1773,NA,NA,NA
76,s_9,9s,s,56,203079,5.307665148,0,NA,NA,28.52,2.4,26.9,1.85,0,15.0003,538.3441,223.3378,203079.0615,8260.1652,21990.4398,97751.955,190820.483,NA,NA,NA
4,c_13,13c,c,55,367227,5.564935012,1,4,6,26.83,1.37,24,1.1,53.3344,806.6828,1365.0273,4973.4328,38299.0993,4910.0982,54582.7583,367227.3444,168365.0339,NA,NA,NA
42,m_13,13m,m,55,276236,5.441279529,1,13,6,28.83,1.71,26.7,1.45,5.0001,221.6711,613.3456,1626.6992,371.6741,7898.4913,24872.1641,276235.5246,193897.2112,NA,NA,NA
54,m_31,31m,m,55,382986,5.583182891,0,5,6,28.02,2.44,25.8,2.1,0,128.3359,505.0101,535.0107,382985.9929,17635.3527,237626.4191,16158.6565,325386.5076,NA,NA,NA
8,c_18,18c,c,54,66531,4.823024051,1,4,6,26.78,1.5,23.5,1.29,5.0001,103.3354,15.0003,3836.7434,7511.8169,5311.7729,24327.1532,66531.3306,NA,NA,NA,NA
50,m_21,21m,m,54,206611,5.31515344,0,16,6,28.57,1.94,25.4,1.95,0,783.349,75.0015,211.6709,93923.5451,9125.1825,164469.956,206610.7988,NA,NA,NA,NA
5,c_14,14c,c,53,504128,5.702541178,1,1,6,25.8,1.08,22.1,1,0,236.6714,368.3407,2341.7135,123169.13,504128.4157,69911.3982,310711.2141,NA,NA,NA,NA
20,c_9,9c,c,53,861302,5.935155569,NA,4,NA,26.49,1.47,26.6,1.4,30.0006,1398.3613,573.3448,3006.7268,22862.1239,861302.2257,NA,NA,NA,NA,NA,NA
26,j_16,16j,j,52,1546408,6.189323974,NA,10,NA,25.63,1.41,25.2,1.24,0,56.6678,350.007,1461.6959,868590.7048,1546407.594,58961.1792,NA,NA,NA,NA,NA
49,m_20,20m,m,52,50813,4.705974836,NA,15,6,29.91,1.82,28.6,1.6,6.6668,298.3393,3186.7304,2350.047,38785.7757,11148.5563,50812.6829,NA,NA,NA,NA,NA
15,c_4,4c,c,50,311101,5.492901717,1,2,6,28.22,1.76,24.8,1.46,0,158.3365,116.669,1361.6939,9221.8511,311101.2219,55092.7685,203054.061,NA,NA,NA,NA
48,m_19,19m,m,50,990156,5.995703829,0,14,6,24.84,1.82,25.95,1.61,53.3344,633.346,1435.0287,5853.4504,108.3355,44622.5591,990156.4694,32948.9923,NA,NA,NA,NA
57,m_6,6m,m,49,79510,4.900421753,0,14,6,26.36,2.08,26.05,1.26,15.0003,68.3347,2235.0447,810.0162,46337.5934,27857.2238,55704.4474,79509.9235,NA,NA,NA,NA
1,c_10,10c,c,48,875471,5.002,1,1,6,28.53,1.57,23.7,1.12,21.6671,660.0132,353.3404,2783.389,101942.0388,517520.3502,875470.8424,100373.6741,NA,NA,NA,NA
3,c_12,12c,c,48,811201,5.909128597,0,3,6,26.02,1.42,24,1.42,0,18.3337,315.0063,1013.3536,42712.5209,811201.2237,498014.9601,216072.6547,NA,NA,NA,NA
10,c_20,20c,c,47,188739,5.27586165,0,NA,6,26.56,1.23,23.55,1.05,16.667,75.0015,786.6824,1046.6876,2603.3854,79913.2649,188738.7747,NA,NA,NA,NA,NA
21,j_10,10j,j,47,265640,5.424,1,NA,NA,27.26,1.08,23.7,1.2,0,66.668,1981.7063,970.0194,2828.3899,16461.9959,265640.3127,NA,NA,NA,NA,NA
45,m_16,16m,m,47,416443,5.619555566,1,5,9,27.45,1.73,24.06,1.55,5.0001,480.0096,1881.7043,703.3474,180.0036,36110.7222,416443.3287,NA,NA,NA,NA,NA
74,s_7,7s,s,47,421765,5.625070642,1,NA,6,27.98,1.51,23.55,1.31,26.6672,48.3343,186.6704,756.6818,421765.1018,7890.1578,362435.5819,NA,NA,NA,NA,NA
56,m_5,5m,m,46,162877,5.21185867,NA,16,6,27.07,1.38,27.15,1.19,41.6675,2271.7121,5923.4518,1961.7059,35.0007,162876.5908,136574.3981,NA,NA,NA,NA,NA
2,c_11,11c,c,45,351704,5.546176938,0,2,6,30.58,2.43,26.51,1.74,6.6668,316.673,138.3361,1860.0372,38495.7699,351703.7006,NA,NA,NA,NA,NA,NA
23,j_12,12j,j,45,157213,5.196488455,1,9,6,28.47,1.42,26.95,1.23,8.3335,141.6695,148.3363,461.6759,112792.2558,163731.6079,157213.1442,NA,NA,NA,NA,NA
38,j_9,9j,j,45,1004737,6.002052292,NA,NA,NA,26.54,1.14,23.9,1.09,0,1.6667,95.0019,321.6731,1004736.761,457347.4801,NA,NA,NA,NA,NA,NA
